2023-03-15,SNES,Side Pocket,G-Mode
2024-02-21,SNES,Battletoads in Battlemaniacs,Xbox Game Studios
2024-02-21,SNES,Killer Instinct,Xbox Game Studios
2024-04-12,SNES,Marvelous: Mōhitotsu no Takarajima,Nintendo
2024-04-12,SNES,Super R-Type,City Connection
2024-04-12,SNES,Wrecking Crew '98,Nintendo
2024-09-18,SNES,Angelique,Koei Tecmo
2024-09-18,SNES,Battletoads/Double Dragon,Xbox Game Studios
2024-09-18,SNES,Big Run,City Connection
2024-09-18,SNES,Cosmo Gang the Puzzle,Bandai Namco Entertainment
2025-01-24,SNES,Fatal Fury 2,Takara
2025-01-24,SNES,Super Ninja Boy,Culture Brain
2025-01-24,SNES,Sutte Hakkun,Nintendo
2025-03-28,SNES,Nobunaga's Ambition,Koei Tecmo
2025-03-28,SNES,Nobunaga's Ambition: Lord of Darkness,Koei Tecmo
2025-03-28,SNES,Romance of the Three Kingdoms IV: Wall of Fire,Koei Tecmo
2025-03-28,SNES,Uncharted Waters: New Horizons,Koei Tecmo
2025-07-29,SNES,Mario Paint,Nintendo
2025-10-09,SNES,Bubsy in Claws Encounters of the Furred Kind,Atari
2025-10-09,SNES,Fatal Fury Special,Takara
2025-10-09,SNES,Mario & Wario,Nintendo
2023-02-08,Game Boy,Alone in the Dark: The New Nightmare,THQ Nordic
2023-02-08,Game Boy,Game & Watch Gallery 3,Nintendo
2023-02-08,Game Boy,Gargoyle's Quest,Capcom
2023-02-08,Game Boy,Kirby's Dream Land,Nintendo
2023-02-08,Game Boy,The Legend of Zelda: Link's Awakening DX,Nintendo
2023-02-08,Game Boy,Metroid II: Return of Samus,Nintendo
2023-02-08,Game Boy,Super Mario Land 2: 6 Golden Coins,Nintendo
2023-02-08,Game Boy,Tetris,Nintendo
2023-02-08,Game Boy,Wario Land 3,Nintendo
2023-02-08,Game Boy,Yakuman,Nintendo
2023-03-15,Game Boy,BurgerTime Deluxe,G-Mode
2023-03-15,Game Boy,Kirby's Dream Land 2,Nintendo
2023-06-05,Game Boy,Blaster Master: Enemy Below,Sunsoft
2023-06-05,Game Boy,Kirby Tilt 'n' Tumble,Nintendo
2023-07-27,Game Boy,The Legend of Zelda: Oracle of Ages,Nintendo
2023-07-27,Game Boy,The Legend of Zelda: Oracle of Seasons,Nintendo
2023-08-08,Game Boy,Pokémon Trading Card Game,Nintendo
2023-09-06,Game Boy,Quest for Camelot,Nintendo
2023-10-31,Game Boy,Castlevania Legends,Konami
2024-03-12,Game Boy,Dr. Mario,Nintendo
2024-03-12,Game Boy,Mario Golf,Nintendo
2024-03-12,Game Boy,Mario Tennis,Nintendo
2024-05-15,Game Boy,Alleyway,Nintendo
2024-05-15,Game Boy,Baseball,Nintendo
2024-05-15,Game Boy,Kaeru no Tame ni Kane wa Naru,Nintendo
2024-05-15,Game Boy,Super Mario Land,Nintendo
2024-06-07,Game Boy,Mega Man: Dr. Wily's Revenge,Capcom
2024-06-07,Game Boy,Mega Man II,Capcom
2024-06-07,Game Boy,Mega Man III,Capcom
2024-06-07,Game Boy,Mega Man IV,Capcom
2024-06-07,Game Boy,Mega Man V,Capcom
2024-11-22,Game Boy,Donkey Kong Land,Nintendo
2024-11-26,Game Boy,Donkey Kong Land 2,Nintendo
2024-12-04,Game Boy,Donkey Kong Land III,Nintendo
2024-12-12,Game Boy,Tetris DX,Nintendo
2025-03-07,Game Boy,Donkey Kong,Nintendo
2025-03-07,Game Boy,Mario's Picross,Nintendo
2025-05-23,Game Boy,Gradius: The Interstellar Assault,Konami
2025-05-23,Game Boy,Kirby's Star Stacker,Nintendo
2025-05-23,Game Boy,Survival Kids,Konami
2025-05-23,Game Boy,The Sword of Hope,Kemco
2025-11-26,Game Boy,Bionic Commando,Capcom
2025-11-26,Game Boy,Kid Icarus: Of Myths and Monsters,Nintendo
2021-10-25,Nintendo 64,Dr. Mario 64,Nintendo
2021-10-25,Nintendo 64,The Legend of Zelda: Ocarina of Time,Nintendo
2021-10-25,Nintendo 64,Mario Kart 64,Nintendo
2021-10-25,Nintendo 64,Mario Tennis,Nintendo
2021-10-25,Nintendo 64,Sin and Punishment,Nintendo
2021-10-25,Nintendo 64,Star Fox 64,Nintendo
2021-10-25,Nintendo 64,Super Mario 64,Nintendo
2021-10-25,Nintendo 64,WinBack,Koei Tecmo
2021-10-25,Nintendo 64,Yoshi's Story,Nintendo
2021-12-10,Nintendo 64,Paper Mario,Nintendo
2022-01-20,Nintendo 64,Banjo-Kazooie,Xbox Game Studios
2022-02-25,Nintendo 64,The Legend of Zelda: Majora's Mask,Nintendo
2022-03-11,Nintendo 64,F-Zero X,Nintendo
2022-04-15,Nintendo 64,Mario Golf,Nintendo
2022-05-20,Nintendo 64,Kirby 64: The Crystal Shards,Nintendo
2022-06-24,Nintendo 64,Pokémon Snap,Nintendo
2022-07-15,Nintendo 64,Custom Robo,Nintendo
2022-07-15,Nintendo 64,Custom Robo V2,Nintendo
2022-07-15,Nintendo 64,Pokémon Puzzle League,Nintendo
2022-08-19,Nintendo 64,Wave Race 64,Nintendo
2022-10-13,Nintendo 64,Pilotwings 64,Nintendo
2022-11-02,Nintendo 64,Mario Party,Nintendo
2022-11-02,Nintendo 64,Mario Party 2,Nintendo
2023-01-27,Nintendo 64,GoldenEye 007,Nintendo
2023-04-12,Nintendo 64,Pokémon Stadium,Nintendo
2023-08-08,Nintendo 64,Pokémon Stadium 2,Nintendo
2023-08-30,Nintendo 64,Excitebike 64,Nintendo
2023-10-27,Nintendo 64,Mario Party 3,Nintendo
2023-11-30,Nintendo 64,Jet Force Gemini,Xbox Game Studios
2023-12-08,Nintendo 64,1080° Snowboarding,Nintendo
2023-12-08,Nintendo 64,Harvest Moon 64,Natsume Inc.
2024-02-21,Nintendo 64,Blast Corps,Xbox Game Studios
2024-04-24,Nintendo 64,Extreme-G,Throwback Entertainment
2024-04-24,Nintendo 64,Iggy's Reckin' Balls,Throwback Entertainment
2024-06-18,Nintendo 64,Perfect Dark,Xbox Game Studios
2024-06-18,Nintendo 64,Turok: Dinosaur Hunter,Nightdive Studios
2024-10-25,Nintendo 64,Banjo-Tooie,Xbox Game Studios
2024-10-29,Nintendo 64,Shadow Man,Nightdive Studios
2024-10-29,Nintendo 64,Turok 2: Seeds of Evil,Nightdive Studios
2025-01-31,Nintendo 64,Ridge Racer 64,Nintendo
2025-05-16,Nintendo 64,Killer Instinct Gold,Xbox Game Studios
